primary_key,address,neighborhood
290,"BO QUINTA CABRINHA, N. 3",VALE ALCANTARA
291,"R COSTA MALHEIRO, LT. A06",ALFREDO BENSAUDE
292,"ESTRADA CIRCUNVALACAO, LT. C11",ALFREDO BENSAUDE
293,"R COSTA MOTA, LT. 11",FURNAS
294,"R ALCINA BASTOS, LT. 1",FURNAS
295,"R ALBERTO JOSE PESSOA, LT. D5",MARQUES ABRANTES
296,"R ANTONIO VILAR, LT. 7",AMEIXOEIRA
297,"BO QUINTA CABRINHA, N. 8",VALE ALCANTARA
298,"R MARIA PIA, LT. 2",VALE ALCANTARA
299,"R RAUL CARVALHO, LT. 3",AMEIXOEIRA
300,"R RIO AGUEDA, LT. 18",PADRE CRUZ
301,"R PADRE CARLOS SANTOS - C POLIVALENTE, LT. -",FURNAS
302,"R ARTUR DUARTE, N. 3",ALFINETES
303,"R ALFREDO ROQUE GAMEIRO, N. 32",REGO
304,"R VARELA SILVA, LT. 1",AMEIXOEIRA
305,"R ANTONIO VILAR, LT. 16",AMEIXOEIRA
306,"R ARNALDO ASSIS PACHECO, LT. 6 A",AMEIXOEIRA
307,"ESTRADA CIRCUNVALACAO, LT. C04",ALFREDO BENSAUDE
308,"AV FORCAS ARMADAS, N. 119",REGO
309,"R VARELA SILVA, LT. 6",AMEIXOEIRA
310,"AV GLICINIA QUARTIN, N. 27",AMEIXOEIRA
311,"AV CEUTA NORTE - QTA LOUREIRO, LT. 1",VALE ALCANTARA
312,"AV CEUTA NORTE - QTA LOUREIRO, LT. 4B",VALE ALCANTARA
313,"R FERNANDO GUSMAO, N. 2",AMEIXOEIRA
314,"AV GLICINIA QUARTIN, N. 1",AMEIXOEIRA
315,"AV CEUTA NORTE - QTA LOUREIRO, LT. 7",VALE ALCANTARA
316,"AV CEUTA NORTE - QTA LOUREIRO, LT. 13",VALE ALCANTARA
317,"R COSTA MALHEIRO, LT. B07",ALFREDO BENSAUDE
318,"ESTRADA CIRCUNVALACAO, LT. C01",ALFREDO BENSAUDE
319,"R VASCO GAMA FERNANDES, N. 13",ALTA LISBOA CENTRO
320,"R VASCO GAMA FERNANDES, N. 15",ALTA LISBOA CENTRO
321,"R JOAO CESAR MONTEIRO, N. 18",ALFINETES
322,"R JOAO CESAR MONTEIRO, N. 12",ALFINETES
323,"AV CEUTA NORTE - QTA LOUREIRO, LT. 14",VALE ALCANTARA
324,"AV CEUTA SUL, LT. 5",VALE ALCANTARA
325,"R PORTUGAL DURAO, N. 58",REGO
326,"R PORTUGAL DURAO, N. 60",REGO
327,"R ARTUR DUARTE, N. 7",ALFINETES
328,"R CARLOS GIL, LT. 647 B",ALFINETES
329,"BO QUINTA CABRINHA, N. 2",VALE ALCANTARA
330,"BO QUINTA CABRINHA, N. 7",VALE ALCANTARA
331,"R VASCO GAMA FERNANDES, N. 9",ALTA LISBOA CENTRO
